GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jqana,com.obomprogramador.tools.jqana.model,Metric,0,3,0,0,0,1,0,1,0,1
jqana,com.obomprogramador.tools.jqana.model,Measurement.MEASUREMENT_TYPE,5,53,0,0,0,2,1,3,1,3
jqana,com.obomprogramador.tools.jqana.model,AbstractMetricParser,20,242,1,9,6,55,3,9,2,5
jqana,com.obomprogramador.tools.jqana.model,LimitVerificationAlgorithm,0,3,0,0,0,1,0,1,0,1
jqana,com.obomprogramador.tools.jqana.model,Measurement,56,98,5,1,20,21,9,11,6,11
jqana,com.obomprogramador.tools.jqana.mavenplugin,JqanaMojo,60,371,2,2,12,77,4,10,2,10
jqana,com.obomprogramador.tools.jqana.context,GlobalConstants,3,0,0,0,1,0,1,0,1,0
jqana,com.obomprogramador.tools.jqana.context,Context,36,159,1,1,15,37,8,7,7,7
jqana,com.obomprogramador.tools.jqana.parsers,Lcom4Parser.Component,0,47,0,2,0,9,0,3,0,2
jqana,com.obomprogramador.tools.jqana.parsers,Lcom4Listener.Lcom4MethodListener,0,104,1,7,0,19,1,5,0,2
jqana,com.obomprogramador.tools.jqana.parsers,RfcBcelParser,12,109,1,3,3,26,1,4,0,3
jqana,com.obomprogramador.tools.jqana.parsers,Member,16,40,0,0,2,5,2,3,2,3
jqana,com.obomprogramador.tools.jqana.parsers,CyclomaticComplexityParser,0,42,0,2,0,9,0,4,0,3
jqana,com.obomprogramador.tools.jqana.parsers,Member.MEMBER_TYPE,9,39,0,0,0,2,2,2,2,2
jqana,com.obomprogramador.tools.jqana.parsers,Lcom4Listener,10,346,12,36,6,84,12,22,1,9
jqana,com.obomprogramador.tools.jqana.parsers,Lcom4Parser,18,623,8,50,7,115,8,34,0,13
jqana,com.obomprogramador.tools.jqana.parsers,RfcBcelParser.RfcVisitor,0,93,0,0,0,13,0,3,0,3
jqana,com.obomprogramador.tools.jqana.parsers,CycloListener,7,646,4,40,2,140,4,40,0,22
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,DefaultXmlGenerator,0,96,0,2,0,22,0,4,0,3
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,MetricValue,12,65,0,0,2,16,2,11,2,11
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,DefaultProjectProcessor,119,520,7,25,31,113,8,26,2,15
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,MaxLimitVerificationAlgorithm,10,17,0,2,5,7,3,3,3,2
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,GetClassNameFromContext,3,32,2,4,2,10,3,2,1,1
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,DefaultProjectProcessor.new Object() {...},2,17,0,0,0,1,0,1,0,1
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,DefaultProjectProcessor.MSG_TYPE,5,43,0,0,0,2,1,3,1,3
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,DefaultMetric,55,28,0,0,14,11,9,7,9,7
jqana,com.obomprogramador.tools.jqana.model.defaultimpl,DefaultXml2HtmlConverter,0,61,0,0,0,14,0,2,0,2
